# buildings_simplified.csv -- one row per building, frame: SUMO local (m)
# name, cx, cy, sx, sy, sz, yaw_deg
bld_B354851876601063C0,     694.15,     583.71,   15.96,    4.28,  24.32,   -14.97
bld_B354861864401063C0,     690.64,     461.99,   15.73,    4.99,  31.00,   -15.15
bld_B354861877001063C0,     695.21,     587.98,   16.05,    4.58,  24.32,   -15.00
bld_B354861901601063C0,     699.76,     833.87,   16.08,   10.51,  82.03,     8.67
bld_B354861901602063C0,     700.40,     832.94,   20.37,   16.09,  10.93,     9.08
bld_B354881864901063C0,     691.87,     466.36,   15.87,    5.88,  32.61,   -14.55
bld_B354891886201063C0,     699.54,     678.70,   10.26,    7.68,  17.07,    75.26
bld_B354901860001063C0,     697.11,     417.69,   13.32,    4.46,  27.32,   -14.67
bld_B354911866401063C0,     695.95,     482.50,   15.19,   11.05,  26.44,   -14.34
bld_B354911877901063C0,     698.31,     599.23,   19.30,   15.86,  35.85,    75.37
bld_B354911918001063C0,     707.61,     998.97,   17.70,    5.89,  26.79,     8.48
bld_B354921860401063C0,     698.26,     422.09,   13.39,    4.66,  27.31,   -14.57
bld_B354921860901063C0,     698.26,     426.81,   10.89,    4.77,  10.34,   -14.64
bld_B354921867301063C0,     697.68,     489.70,   15.45,    5.07,  27.45,   -14.93
bld_B354921917601063C0,     707.15,     994.48,   15.39,    3.29,  25.34,     9.07
bld_B354931867601063C0,     698.90,     494.42,   15.42,    4.72,  27.45,   -14.85
bld_B354931917101063C0,     707.79,     990.28,   15.35,    5.27,  26.43,     8.85
bld_B354941861501063C0,     701.41,     431.59,   11.88,    6.84,  38.49,   -14.88
bld_B354941868101063C0,     700.87,     498.52,   16.18,    4.98,  26.38,   -14.69
bld_B354941883401063C0,     704.72,     653.28,   60.56,   30.64,  21.30,    75.25
bld_B354941916201063C0,     709.44,     980.86,   15.79,    4.81,  26.42,     7.86
bld_B354941916701063C0,     708.54,     985.35,   15.32,    4.73,  25.32,     8.88
bld_B354951915701063C0,     710.26,     976.22,   15.99,    5.02,  26.42,     7.77
bld_B354961862001063C0,     703.14,     438.07,   11.89,    6.60,  38.50,   -14.89
bld_B354961868501063C0,     701.35,     503.25,   14.76,    4.66,  26.38,   -14.64
bld_B354961869001063C0,     702.49,     507.74,   14.73,    4.60,  26.43,   -14.62
bld_B354961915301063C0,     710.95,     971.45,   15.88,    4.89,  27.01,     8.78
bld_B354971862701063C0,     704.31,     446.17,   12.43,   10.32,  53.73,   -14.39
bld_B354971914901063C0,     711.35,     967.13,   15.48,    5.04,  26.43,     8.48
bld_B354981869501063C0,     703.75,     512.04,   15.06,    4.48,  26.43,   -15.07
bld_B354981869901063C0,     704.70,     516.57,   15.39,    4.89,  26.81,   -14.70
bld_B354981913901063C0,     713.26,     957.87,   16.51,    5.28,  28.29,     9.63
bld_B354981914401063C0,     711.98,     962.35,   15.38,    4.62,  26.43,     8.48
bld_B354991870401063C0,     705.82,     521.27,   15.33,    4.79,  26.80,   -14.68
bld_B355001863901063C0,     707.04,     457.66,   15.54,   12.75,  26.75,    75.92
bld_B355001870801063C0,     707.02,     525.87,   15.28,    4.85,  27.41,   -15.18
bld_B355011912701063C0,     715.05,     944.45,   15.38,    4.66,  28.65,     8.77
bld_B355021871201063C0,     707.47,     530.64,   13.64,    4.62,  27.41,   -14.96
bld_B355021912201063C0,     715.86,     939.68,   15.50,    5.02,  28.64,     8.75
bld_B355031871701063C0,     709.51,     534.84,   14.55,    5.25,  26.76,   -14.70
bld_B355041911401063C0,     717.30,     930.50,   15.51,   14.06,  38.77,     8.98
bld_B355041919701063C0,     721.65,    1014.44,   14.93,    6.10,  36.66,     8.92
bld_B355051873701063C0,     714.23,     553.26,   15.85,    3.24,  37.71,   -15.05
bld_B355071909601063C0,     720.44,     911.87,   24.07,   14.69,  26.42,   -81.24
bld_B355091874401063C0,     716.84,     562.64,   15.49,    4.34,  34.83,   -15.01
bld_B355091906501063C0,     725.31,     885.18,   16.16,    6.71,  32.63,     8.64
bld_B355101873101063C0,     713.22,     548.57,   15.70,    6.36,  34.84,   -15.06
bld_B355111868901063C0,     719.23,     505.70,   16.17,    5.04,  28.08,   -14.79
bld_B355111874801063C0,     717.59,     565.97,   15.65,    4.49,  26.41,   -14.46
bld_B355121868301063C0,     718.99,     501.07,    2.92,    1.80,   7.60,    29.99
bld_B355121874001063C0,     715.39,     557.71,   15.86,    5.96,  37.72,   -15.05
bld_B355121875301063C0,     718.46,     570.53,   16.30,    4.90,  26.40,   -15.05
bld_B355121916101063C0,     729.83,     979.38,   17.15,    5.13,  21.60,     8.47
bld_B355131869301063C0,     721.03,     510.91,   15.36,    5.98,  28.07,   -14.86
bld_B355131875701063C0,     719.89,     574.63,   15.57,    4.97,  27.50,   -15.05
bld_B355131915601063C0,     730.64,     974.40,   17.00,    4.97,  21.73,     8.45
bld_B355141876201063C0,     720.98,     579.35,   15.70,    4.70,  27.50,   -15.05
bld_B355141906101063C0,     726.15,     879.62,   16.13,    4.54,  33.00,     8.65
bld_B355141914301063C0,     730.89,     960.09,   16.69,    5.59,  21.95,     9.07
bld_B355141914701063C0,     730.03,     965.21,   16.73,    5.22,  21.95,     7.61
bld_B355141915101063C0,     729.68,     969.74,   14.56,    4.59,  21.78,     8.25
bld_B355151869801063C0,     722.49,     515.85,   14.40,    4.45,  27.52,   -15.30
